"Route","RouteFile","Classification","Priority","Basis","Evidence","NextAction"
"/admin/demand-map","C:\EAR_OS_V2\src\app\api\admin\demand-map\route.js","RIESGO_ALTO","P0","Ruta de nombre sensible sin evidencia técnica autorizada de autenticación dentro del archivo.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","BLOQUEAR aprobación de release para esta ruta hasta revisión manual y decisión explícita."
"/admin/demand-map","C:\EAR_OS_V2\src\app\api\admin\demand-map\route.ts","RIESGO_ALTO","P0","Ruta de nombre sensible sin evidencia técnica autorizada de autenticación dentro del archivo.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","BLOQUEAR aprobación de release para esta ruta hasta revisión manual y decisión explícita."
"/astra/query","C:\EAR_OS_V2\src\app\api\astra\query\route.js","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/astra/query","C:\EAR_OS_V2\src\app\api\astra\query\route.ts","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/astra","C:\EAR_OS_V2\src\app\api\astra\route.js","PROTEGIDA","P2","Se observaron referencias técnicas de autenticación o sesión dentro de la ruta.","L24: maxOutputTokens: 2048,","Validar que el control observado cubre todos los métodos HTTP y coincide con la política de negocio."
"/astra","C:\EAR_OS_V2\src\app\api\astra\route.ts","PROTEGIDA","P2","Se observaron referencias técnicas de autenticación o sesión dentro de la ruta.","L30: maxOutputTokens: 2048,","Validar que el control observado cubre todos los métodos HTTP y coincide con la política de negocio."
"/contracts/generate","C:\EAR_OS_V2\src\app\api\contracts\generate\route.js","PROTEGIDA","P2","Se observaron referencias técnicas de autenticación o sesión dentro de la ruta.","L5: const { sessionId, provincia, evento } = data; || L10: console.log(`[EAR_OS] Contrato S-Class generado para ${provincia} - ${evento} (Sesión: ${sessionId})`);","Validar que el control observado cubre todos los métodos HTTP y coincide con la política de negocio."
"/contracts/generate","C:\EAR_OS_V2\src\app\api\contracts\generate\route.ts","PROTEGIDA","P2","Se observaron referencias técnicas de autenticación o sesión dentro de la ruta.","L6: const { sessionId, provincia, evento } = data; || L13: console.log(`[EAR_OS] Contrato S-Class generado para ${provincia} - ${evento} (Sesión: ${sessionId})`);","Validar que el control observado cubre todos los métodos HTTP y coincide con la política de negocio."
"/cron/obsidian-sync","C:\EAR_OS_V2\src\app\api\cron\obsidian-sync\route.js","PROTEGIDA","P2","Se observaron referencias técnicas de autenticación o sesión dentro de la ruta.","L10: * Diseñado para ser invocado por Vercel Cron Jobs mediante Bearer Token. || L13: const authHeader = req.headers.get(""authorization""); || L15: // 1. Verificación del Guardián Bearer Token || L17: !authHeader.startsWith(""Bearer "") ||","Validar que el control observado cubre todos los métodos HTTP y coincide con la política de negocio."
"/cron/obsidian-sync","C:\EAR_OS_V2\src\app\api\cron\obsidian-sync\route.ts","PROTEGIDA","P2","Se observaron referencias técnicas de autenticación o sesión dentro de la ruta.","L12: * Diseñado para ser invocado por Vercel Cron Jobs mediante Bearer Token. || L15: const authHeader = req.headers.get(""authorization""); || L18: // 1. Verificación del Guardián Bearer Token || L21: !authHeader.startsWith(""Bearer "") ||","Validar que el control observado cubre todos los métodos HTTP y coincide con la política de negocio."
"/fleet/map","C:\EAR_OS_V2\src\app\api\fleet\map\route.js","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/fleet/map","C:\EAR_OS_V2\src\app\api\fleet\map\route.ts","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/fleet/waybills/[id]","C:\EAR_OS_V2\src\app\api\fleet\waybills\[id]\route.js","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/fleet/waybills/[id]","C:\EAR_OS_V2\src\app\api\fleet\waybills\[id]\route.ts","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/health","C:\EAR_OS_V2\src\app\api\health\route.js","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/health","C:\EAR_OS_V2\src\app\api\health\route.ts","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/hunter/execute","C:\EAR_OS_V2\src\app\api\hunter\execute\route.js","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/hunter/execute","C:\EAR_OS_V2\src\app\api\hunter\execute\route.ts","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/hunter/ingest","C:\EAR_OS_V2\src\app\api\hunter\ingest\route.js","PROTEGIDA","P2","Se observaron referencias técnicas de autenticación o sesión dentro de la ruta.","L9: const authHeader = req.headers.get('authorization'); || L10: if (authHeader !== 'Bearer ' + process.env.HUNTER_API_KEY) {","Validar que el control observado cubre todos los métodos HTTP y coincide con la política de negocio."
"/hunter/ingest","C:\EAR_OS_V2\src\app\api\hunter\ingest\route.ts","PROTEGIDA","P2","Se observaron referencias técnicas de autenticación o sesión dentro de la ruta.","L11: const authHeader = req.headers.get('authorization'); || L12: if (authHeader !== 'Bearer ' + process.env.HUNTER_API_KEY) {","Validar que el control observado cubre todos los métodos HTTP y coincide con la política de negocio."
"/hunter/phantom","C:\EAR_OS_V2\src\app\api\hunter\phantom\route.js","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/hunter/phantom","C:\EAR_OS_V2\src\app\api\hunter\phantom\route.ts","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/nexus/user/sync","C:\EAR_OS_V2\src\app\api\nexus\user\sync\route.js","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/nexus/user/sync","C:\EAR_OS_V2\src\app\api\nexus\user\sync\route.ts","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/oracle/infer","C:\EAR_OS_V2\src\app\api\oracle\infer\route.js","PROTEGIDA","P2","Se observaron referencias técnicas de autenticación o sesión dentro de la ruta.","L3: import genomeData from '@/app/data/genome_sessions.json'; || L27: const fallbackResults = (genomeData?.sessions || []) || L35: path: 'local://genome_sessions.json'","Validar que el control observado cubre todos los métodos HTTP y coincide con la política de negocio."
"/oracle/infer","C:\EAR_OS_V2\src\app\api\oracle\infer\route.ts","PROTEGIDA","P2","Se observaron referencias técnicas de autenticación o sesión dentro de la ruta.","L3: import genomeData from '@/app/data/genome_sessions.json'; || L36: const fallbackResults = (genomeData?.sessions || []) || L44: path: 'local://genome_sessions.json'","Validar que el control observado cubre todos los métodos HTTP y coincide con la política de negocio."
"/oracle/simulator","C:\EAR_OS_V2\src\app\api\oracle\simulator\route.js","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/oracle/simulator","C:\EAR_OS_V2\src\app\api\oracle\simulator\route.ts","INDETERMINADA","P1","No se observó evidencia de autenticación dentro del archivo; middleware global no se atribuye automáticamente.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","Revisar middleware y política de exposición antes de clasificar como pública."
"/payments/checkout","C:\EAR_OS_V2\src\app\api\payments\checkout\route.js","PROTEGIDA","P2","Se observaron referencias técnicas de autenticación o sesión dentro de la ruta.","L14: const session = await stripe.checkout.sessions.create({ || L39: success_url: `${origin}/success?session_id={CHECKOUT_SESSION_ID}`, || L42: return NextResponse.json({ url: session.url });","Validar que el control observado cubre todos los métodos HTTP y coincide con la política de negocio."
"/payments/checkout","C:\EAR_OS_V2\src\app\api\payments\checkout\route.ts","PROTEGIDA","P2","Se observaron referencias técnicas de autenticación o sesión dentro de la ruta.","L18: const session = await stripe.checkout.sessions.create({ || L43: success_url: `${origin}/success?session_id={CHECKOUT_SESSION_ID}`, || L47: return NextResponse.json({ url: session.url });","Validar que el control observado cubre todos los métodos HTTP y coincide con la política de negocio."
"/payments/create-session","C:\EAR_OS_V2\src\app\api\payments\create-session\route.js","PROTEGIDA","P2","Se observaron referencias técnicas de autenticación o sesión dentro de la ruta.","L2: import { createCheckoutSession } from '@/lib/payments'; || L4: // 💳 STRIPE SESSION HANDLER (S-CLASS) || L14: const session = await createCheckoutSession({ || L20: id: session.id, || L21: url: session.url, || L28: error: 'STRIPE_SESSION_ERROR',","Validar que el control observado cubre todos los métodos HTTP y coincide con la política de negocio."
"/payments/create-session","C:\EAR_OS_V2\src\app\api\payments\create-session\route.ts","PROTEGIDA","P2","Se observaron referencias técnicas de autenticación o sesión dentro de la ruta.","L2: import { createCheckoutSession } from '@/lib/payments'; || L5: // 💳 STRIPE SESSION HANDLER (S-CLASS) || L21: const session = await createCheckoutSession({ || L28: id: session.id, || L29: url: session.url, || L37: error: 'STRIPE_SESSION_ERROR',","Validar que el control observado cubre todos los métodos HTTP y coincide con la política de negocio."
"/payments/liquidate","C:\EAR_OS_V2\src\app\api\payments\liquidate\route.js","RIESGO_ALTO","P0","Ruta de nombre sensible sin evidencia técnica autorizada de autenticación dentro del archivo.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","BLOQUEAR aprobación de release para esta ruta hasta revisión manual y decisión explícita."
"/payments/liquidate","C:\EAR_OS_V2\src\app\api\payments\liquidate\route.ts","RIESGO_ALTO","P0","Ruta de nombre sensible sin evidencia técnica autorizada de autenticación dentro del archivo.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","BLOQUEAR aprobación de release para esta ruta hasta revisión manual y decisión explícita."
"/payments/webhook","C:\EAR_OS_V2\src\app\api\payments\webhook\route.js","PROTEGIDA","P2","Se observaron referencias técnicas de autenticación o sesión dentro de la ruta.","L13: function getEmailFromSession(session) { || L14: const email = session.customer_details?.email?.trim().toLowerCase() || || L15: session.customer_email?.trim().toLowerCase() || || L52: case ""checkout.session.completed"": || L61: // HANDLER 1: checkout.session.completed (Ledger + Wallet + Waybill) || L63: async function handleCheckoutCompleted(session) { || L64: const meta = session.metadata || {}; || L65: const idempotencyRef = `STRIPE-${session.id}`; || L66: const amountTotal = (session.amount_total ?? 0) / 100; || L74: logger.info({ event: ""WEBHOOK_IDEMPOTENCY_HIT"", sessionId: session.id }); || L99: const email = getEmailFromSession(session); || L101: throw new Error(""Unable to resolve guest identity from Stripe session""); || L112: displayName: meta.clientName || session.customer_details?.name || ""Cliente Invitado"", || L126: currency: session.currency?.toUpperCase() || ""EUR"", || L128: stripeSessionId: session.id, || L131: sourceEvent: ""checkout.session.completed"", || L161: currency: session.currency?.toUpperCase() || ""EUR"", || L177: referenceCode: `WAY-${session.id}`, || L201: sessionId: session.id, || L203: currency: session.currency, || L205: client: getEmailFromSession(session) || ""Desconocido"", || L216: const currency = session.currency?.toUpperCase() || ""EUR""; || L217: const email = getEmailFromSession(session) || ""Anónimo"";","Validar que el control observado cubre todos los métodos HTTP y coincide con la política de negocio."
"/payments/webhook","C:\EAR_OS_V2\src\app\api\payments\webhook\route.ts","RIESGO_ALTO","P0","Ruta de nombre sensible sin evidencia técnica autorizada de autenticación dentro del archivo.","Sin coincidencias técnicas autorizadas en el archivo de ruta.","BLOQUEAR aprobación de release para esta ruta hasta revisión manual y decisión explícita."
