"TaskId","Priority","Route","Status","Trigger","NextAction","IfResultIsProtected","IfResultIsNotProtected","IfResultIsUnclear"
"AUTH-P0--admin-demand-map","P0","/admin/demand-map","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sensible sin evidencia técnica local de autenticación.","Revisar middleware global y evidencia de protección aplicable; actualizar clasificación.","Cambiar estado a PROTEGIDA y registrar evidencia.","Marcar RIESGO_CONFIRMADO y requerir tarea de corrección aprobada.","Mantener INDETERMINADA y requerir decisión de negocio."
"AUTH-P0--admin-demand-map","P0","/admin/demand-map","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sensible sin evidencia técnica local de autenticación.","Revisar middleware global y evidencia de protección aplicable; actualizar clasificación.","Cambiar estado a PROTEGIDA y registrar evidencia.","Marcar RIESGO_CONFIRMADO y requerir tarea de corrección aprobada.","Mantener INDETERMINADA y requerir decisión de negocio."
"AUTH-P0--payments-liquidate","P0","/payments/liquidate","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sensible sin evidencia técnica local de autenticación.","Revisar middleware global y evidencia de protección aplicable; actualizar clasificación.","Cambiar estado a PROTEGIDA y registrar evidencia.","Marcar RIESGO_CONFIRMADO y requerir tarea de corrección aprobada.","Mantener INDETERMINADA y requerir decisión de negocio."
"AUTH-P0--payments-liquidate","P0","/payments/liquidate","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sensible sin evidencia técnica local de autenticación.","Revisar middleware global y evidencia de protección aplicable; actualizar clasificación.","Cambiar estado a PROTEGIDA y registrar evidencia.","Marcar RIESGO_CONFIRMADO y requerir tarea de corrección aprobada.","Mantener INDETERMINADA y requerir decisión de negocio."
"AUTH-P0--payments-webhook","P0","/payments/webhook","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sensible sin evidencia técnica local de autenticación.","Revisar middleware global y evidencia de protección aplicable; actualizar clasificación.","Cambiar estado a PROTEGIDA y registrar evidencia.","Marcar RIESGO_CONFIRMADO y requerir tarea de corrección aprobada.","Mantener INDETERMINADA y requerir decisión de negocio."
"AUTH-P1--astra-query","P1","/astra/query","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--astra-query","P1","/astra/query","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--fleet-map","P1","/fleet/map","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--fleet-map","P1","/fleet/map","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
"AUTH-P1--fleet-waybills--id-","P1","/fleet/waybills/[id]","PENDIENTE_REVISION_SOLO_LECTURA","Ruta sin evidencia local concluyente.","Revisar política de exposición y middleware aplicable.","Cambiar estado a PROTEGIDA y registrar evidencia.","Clasificar PÚBLICA_INTENCIONAL o RIESGO_CONFIRMADO tras decisión de negocio.","Mantener INDETERMINADA."
