ID_COMPONENTE;MODULO;TIPO;NOMBRE_ARCHIVO_O_FUNCION;RUTA_FISICA;ROL_ASOCIADO;COMANDO_INVOCACION;ENTRADA_PARAMETROS;SALIDA_RESULTADO;DESCRIPCION_OPERATIVA_DETALLADA;CRITICIDAD
SCR-001;SCRIPTS_LOCALES;CLI_SCRIPT;.archived_manifest.json;scripts/.archived_manifest.json;ADMIN_TECNICO;;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-002;SCRIPTS_LOCALES;CLI_SCRIPT;.processed_hashes.json;scripts/.processed_hashes.json;ADMIN_TECNICO;;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-003;SCRIPTS_LOCALES;CLI_SCRIPT;01_ESCANER_FORENSE_ADN.py;scripts/01_ESCANER_FORENSE_ADN.py;ADMIN_TECNICO;python scripts/01_ESCANER_FORENSE_ADN.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-004;SCRIPTS_LOCALES;CLI_SCRIPT;02_inventario_etiquetado_dinamico.ps1;scripts/02_inventario_etiquetado_dinamico.ps1;ADMIN_TECNICO;PowerShell -ExecutionPolicy Bypass -File .\scripts\02_inventario_etiquetado_dinamico.ps1;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-005;SCRIPTS_LOCALES;CLI_SCRIPT;03_configurar_supabase_env_seguro.ps1;scripts/03_configurar_supabase_env_seguro.ps1;ARTISTA_DJ / ADMIN;PowerShell -ExecutionPolicy Bypass -File .\scripts\03_configurar_supabase_env_seguro.ps1;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Gestión visual y almacenamiento de datos fiscales de artistas y locales asociados.;HIGH
SCR-006;SCRIPTS_LOCALES;CLI_SCRIPT;04_verificar_supabase_env_seguro.ps1;scripts/04_verificar_supabase_env_seguro.ps1;ADMIN_TECNICO;PowerShell -ExecutionPolicy Bypass -File .\scripts\04_verificar_supabase_env_seguro.ps1;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-007;SCRIPTS_LOCALES;CLI_SCRIPT;7179a7d0c0dbabf7c4a090c75a02a329_organizer.py;scripts/7179a7d0c0dbabf7c4a090c75a02a329_organizer.py;ADMIN_TECNICO;python scripts/7179a7d0c0dbabf7c4a090c75a02a329_organizer.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-008;SCRIPTS_LOCALES;CLI_SCRIPT;8b48933ad7b2bfea44ce4a33cb2e648a_move_dups.py;scripts/8b48933ad7b2bfea44ce4a33cb2e648a_move_dups.py;ADMIN_TECNICO;python scripts/8b48933ad7b2bfea44ce4a33cb2e648a_move_dups.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-009;SCRIPTS_LOCALES;CLI_SCRIPT;99831ff239497eeb6cb3b0fa6b4327c1_database.py;scripts/99831ff239497eeb6cb3b0fa6b4327c1_database.py;ADMIN_TECNICO;python scripts/99831ff239497eeb6cb3b0fa6b4327c1_database.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-010;SCRIPTS_LOCALES;CLI_SCRIPT;Buscador avanzado.py;scripts/Buscador avanzado.py;ADMIN_TECNICO;python scripts/Buscador avanzado.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-011;SCRIPTS_LOCALES;CLI_SCRIPT;CLI windows.py;scripts/CLI windows.py;ADMIN_TECNICO;python scripts/CLI windows.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-012;SCRIPTS_LOCALES;CLI_SCRIPT;ClasificadorForense.py;scripts/ClasificadorForense.py;ADMIN_TECNICO;python scripts/ClasificadorForense.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-013;SCRIPTS_LOCALES;CLI_SCRIPT;EAR_OS_SOVEREIGN_VAMPIRE.py;scripts/EAR_OS_SOVEREIGN_VAMPIRE.py;ADMIN_TECNICO;python scripts/EAR_OS_SOVEREIGN_VAMPIRE.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-014;SCRIPTS_LOCALES;CLI_SCRIPT;IGNICION_EAR.PS1;scripts/IGNICION_EAR.PS1;ADMIN_TECNICO;;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-015;SCRIPTS_LOCALES;CLI_SCRIPT;Iniciar_obsidian_earos.ps1;scripts/Iniciar_obsidian_earos.ps1;ADMIN_TECNICO;PowerShell -ExecutionPolicy Bypass -File .\scripts\Iniciar_obsidian_earos.ps1;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-016;SCRIPTS_LOCALES;CLI_SCRIPT;Vimume_Deep_Scanner.py;scripts/Vimume_Deep_Scanner.py;ADMIN_TECNICO;python scripts/Vimume_Deep_Scanner.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-017;SCRIPTS_LOCALES;CLI_SCRIPT;Whisper_Wisdom_Injection.py;scripts/Whisper_Wisdom_Injection.py;ADMIN_TECNICO;python scripts/Whisper_Wisdom_Injection.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-018;SCRIPTS_LOCALES;CLI_SCRIPT;adn_forensic_scanner.py;scripts/adn_forensic_scanner.py;ADMIN_TECNICO;python scripts/adn_forensic_scanner.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-019;SCRIPTS_LOCALES;CLI_SCRIPT;adn_forensic_scanner_pro.py;scripts/adn_forensic_scanner_pro.py;ADMIN_TECNICO;python scripts/adn_forensic_scanner_pro.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-020;SCRIPTS_LOCALES;CLI_SCRIPT;antigravity_chats_mined_report.json;scripts/antigravity_chats_mined_report.json;ADMIN_TECNICO;;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-021;SCRIPTS_LOCALES;CLI_SCRIPT;archive_old_vampires.py;scripts/archive_old_vampires.py;ADMIN_TECNICO;python scripts/archive_old_vampires.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-022;SCRIPTS_LOCALES;CLI_SCRIPT;audit_auth_assets.py;scripts/audit_auth_assets.py;ADMIN_TECNICO;python scripts/audit_auth_assets.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-023;SCRIPTS_LOCALES;CLI_SCRIPT;audit_dependencies_before_purify.py;scripts/audit_dependencies_before_purify.py;ADMIN_TECNICO;python scripts/audit_dependencies_before_purify.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-024;SCRIPTS_LOCALES;CLI_SCRIPT;audit_ear_os_tree.py;scripts/audit_ear_os_tree.py;ADMIN_TECNICO;python scripts/audit_ear_os_tree.py;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-025;SCRIPTS_LOCALES;CLI_SCRIPT;audit_latent_capabilities.js;scripts/audit_latent_capabilities.js;ADMIN_TECNICO;node scripts/audit_latent_capabilities.js;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-026;SCRIPTS_LOCALES;CLI_SCRIPT;audit_links.mjs;scripts/audit_links.mjs;ADMIN_TECNICO;;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-027;SCRIPTS_LOCALES;CLI_SCRIPT;audit_live_cinematic_tunnel.js;scripts/audit_live_cinematic_tunnel.js;ADMIN_TECNICO;node scripts/audit_live_cinematic_tunnel.js;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-028;SCRIPTS_LOCALES;CLI_SCRIPT;audit_live_cinematic_tunnel_deep.js;scripts/audit_live_cinematic_tunnel_deep.js;ADMIN_TECNICO;node scripts/audit_live_cinematic_tunnel_deep.js;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-029;SCRIPTS_LOCALES;CLI_SCRIPT;audit_routes_and_sitemap.js;scripts/audit_routes_and_sitemap.js;ADMIN_TECNICO;node scripts/audit_routes_and_sitemap.js;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
SCR-030;SCRIPTS_LOCALES;CLI_SCRIPT;audit_unresolved_ideas.js;scripts/audit_unresolved_ideas.js;ADMIN_TECNICO;node scripts/audit_unresolved_ideas.js;Argumentos CLI / Flags;Logs de consola / Archivos generados / Actas;Script auxiliar de mantenimiento, limpieza o pruebas forenses de la plataforma.;MEDIUM
